name,price,processor,ram,os,storage,display,warranty
Lenovo Intel Core i5 9th Gen 9300HF - (8 GB/1 TB HDD/Windows 10 Home/3 GB Graphics/NVIDIA GeForce GTX ...,"₹54,590",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,,39.62 cm (15.6 inch) Display,1 Year Warranty + 1 Year Premium Care + 1 Year ADP
Infinix INBook X2 Plus Intel Core i7 11th Gen 1195G7 - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin an...,"₹57,990",Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
ASUS VivoBook Ultra 14 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB513T...,"₹59,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
Infinix X1 Slim Series Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) XL21 Thin and...,"₹54,999",Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
MSI Modern 14 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-437IN Th...,"₹44,990",Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty
Lenovo Ideapad S145 Intel Core i3 10th Gen 1005G1 - (4 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,"₹30,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
MSI Prestige 13 Evo AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 13 AI Ev...,"₹1,14,990",Intel Core Ultra 7 Processor,16 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,33.78 cm (13.3 Inch) Display,2 Year Carry-in Warranty
Lenovo IdeaPad 3 Intel Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800LAIN Thin and ...,"₹34,490",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,2 Yr Warranty
MSI Prestige 14 Intel EVO Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 10 Home) Prestige ...,"₹74,990",Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,PCI-e Gen4 SSD?SHIFT?Matrix Display (Extend)?Cooler Boost 3?Thunderbolt 4?Finger Print Security?True Color 2.0?Hi-Res Audio?Nahimic 3? 4-Sided Thin bezel?MSI Center?Silky Smooth Touchpad?Military-Grade Durability,35.56 cm (14 inch) Display,1 Year On-Site Warranty
Lenovo Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) IdeaPad Slim 3 Laptop,"₹33,600",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,1-year warranty
HP Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3037tu Thin and Light Lapto...,"₹24,986",Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
Infinix X1 Slim Series Intel Core i3 10th Gen 1005G1 - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and...,"₹35,973",Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
ASUS X512FA Intel Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) X512FA-EJ372T Laptop,"₹38,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1-year limited international hardware warranty
HP Intel Core N 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ep0068TU Laptop,"₹38,389",Intel Core N Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty
Infinix INBook X2 Plus Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and...,"₹45,477",Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
HP 15s Intel Core i3 10th Gen 10110U - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1066TU Thin and Light Lap...,"₹40,800",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
